,text,label
0,"If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.",0
1,12 more hurricanes headed towards U.S.,0
2,"NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.",0
5,Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.,0
6,The Graham-Cassidy health care bill does include coverage of pre-existing conditions.,0
7,"Thomas Jefferson said, Government that governs least governs best. ",0
8,"Under the Graham-Cassidy health insurance bill, in states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare.",0
13,Says Roy Moore is on the wrong side of Trumps border wall.,0
14,"Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshires U.S. Senate Seat, and perhaps also New Hampshires four Electoral College votes in the presidential election.",0
15,"So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So its 3 or 4 million, right?",0
16,"Georgia mosque keeps Hurricane Harvey donations, will send to Syrian refugees instead",0
17,No court has held (Deferred Action for Childhood Arrivals) unconstitutional.,1
18,"President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order as former President Barack Obamas Deferred Action for Childhood Arrivals, or DACA.",1
20,Says President Barack Obamas policy known as DACA contributed to a surge of minors at the southern border.,0
21,"In addition to his compensation as a judge, Roy Moore and his wife (paid themselves) over $1 million from a charity they ran.",1
22,Says video shows Mike Pence quoting the Bible as justification for Congress not to fund Katrina relief effort.,0
23,We stopped traffic coming through -- 78 percent.,0
24,Two-thirds of the (Hurricane Sandy relief) bill had nothing to do with Sandy.,0
25,"I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.",1
26,Says his conviction is a political witch hunt by holdovers in the Obama justice department.,0
27,Photo shows a shark swimming on a freeway in Houston.,0
28,Says Kelli Ward hosted a town hall on chemtrail conspiracy theories and is open to sponsoring chemtrails legislation.,0
29,Weve got dozens of counties around America that have zero insurers left.,0
30,We have become an energy exporter for the first time ever just recently.,0
31,There arent too many people outside protesting his speech at the Phoenix Convention Center.,0
32,"Says Sen. Jon Tester believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.",0
33,White nationalist protesters in Charlottesville had a permit. The other group didnt have a permit.,0
34,Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!,0
35,Wages havent gone up for a long time.,0
36,"There are communities under Sharia law right now in our country. Up in Illinois. ... Theres Sharia law, as I understand it, in Illinois, Indiana -- up there. I dont know.",0
37,Theres no such thing as a lone wolf. ... That was a phrase invented by the last administration to make Americans stupid.,0
38,My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.,0
39,Says his time away from Washington coincides with a long planned renovation for the White House.,1
40,United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.,1
41,"Untaxed corporate earnings used to be $2.5 trillion  I guess its $5 trillion now. Whatever it is, its a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.",0
42,"The border is down 78 percent. Under past administrations, the border didnt go down -- it went up.",0
44,"Business spirit is the highest its ever been, according to polls.",0
45,In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept,0
46,Weve achieved a historic increase in defense spending to get our troops the support they so richly deserve.,0
47,Youve got thousands of people serving in the military who are transgender.,1
48,Amazon has a no-tax monopoly.,0
49,"When the price for oil goes up on the markets, it goesright up, but it never goes down.",0
50,We had the best jobs report in 16 years.,1
51,"The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!",0
52,"According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that dont.",0
53,"Just 6percent of Americans say Russia is the countrys most important issue, yet the story receives 75 percent of the coverage in the media.",0
54,"During the Nixon Watergate investigation, out of courtesy, the FBI started reporting to the Department of Justice. But there was nothing official.",0
56,"Ive gotten rid of the Johnson Amendment  I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldnt speak politically before, now you can.",0
57,One in three people whos receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.,1
58,Says his job approval poll numbers are not bad relative to other presidents at this point in his presidency.,0
60,"In Ohio, due to Medicaid expansion, nearly 60,000 disabled citizens are stuck on waiting lists ... leaving them without the care they need for months or even years.",0
61,Medicaid is contributing to 70 percent of our budget deficit right now. Its the one that is in our lap because of Obamacare.,0
62,Says CNN host Fareed Zakaria calls for jihad rape of white women.,0
63,Says John Podesta refused to give the DNC server to the FBI and the CIA. Disgraceful!,0
64,"Says because of Donald Trump, the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they dont believe that healthy people will buy insurance.",0
65,"Says Barack Obama found out about Russia in August. Now, the election was in November. Thats a lot of time. He did nothing about it.",0
66,Gas prices are the lowest in the U.S. in over ten years!,0
67,"The president in no way, form or fashion has ever promoted or encouraged violence.",0
69,CNNs ratings are way down.,0
70,Were pretty much at the 50 percent mark on deportations of MS-13 gang members.,0
71,U.N. official John Ashe set to testify against the Clintons may not have died by accident.,0
72,We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.,1
74,Says the CBO said its not that people are getting pushed off a plan its that people will choose not to buy something they dont like or want.,0
